ID,Date,Time,Location,Operator,Flight,Route,Type,Registration,CN_IN,Aboard,Fatalities,Ground,Survivors,SurvivalRate,Summary,ClustID
98,7/25/1971,Not Available,"NEAR IRKUTSK, RUSSIA",AEROFLOT,Not Available,NOVOSIBIRSK - IRKUTSK,TUPOLEV TU-104B,CCCP-42405,820202,126,97,0,29,0.23,While landing at Irkutsk Airport the aircraft landed short of the runway after an excessive rate of sink. The left wing separated and the plane burst into flames.,High Fatality
99,7/30/1971,14:00,"NEAR MORIOKO, JAPAN",ALL NIPPON AIRWAYS /  JAPANESE AIR FORCE,58,SAPPORO - TOKYO,BOEING B-727-281 / AIR FORCE F86F,JA8329 / ,20436/788,164,163,0,1,0.006,"A Japan Air Self Defense Force F-86F fighter collided with the B-727. Both aircraft crashed, but the fighter pilot ejected safely. All one hundred sixty-two aboard the 727 were killed. The fighter pilot and his captain was indicted for involuntary homicide. The fighter pilot was acquitted but the captain was convicted and received 3 years in jail for not providing sufficient supervision of his wingman.",High Fatality
100,7/30/1971,14:29,"SAN FRANCISCO, CALIFORNIA",PAN AMERICAN WORLD AIRWAYS,845,SAN FRANCISCO - LOS ANGELES,BOEING B-747-121,N747PA,19639/2,218,0,0,218,1,The aircraft struck approach lights at the departure end of runway during takeoff. Miscalculation of available runway length and takeoff reference speed by crew. Erroneous information from the dispatcher. The aircraft was named 'Clipper America.',Low Fatality
101,8/7/1971,Not Available,"IRKUTSK, USSR",AEROFLOT,Not Available,ODESSA - IRKUTSK - VLADIVOSTOK,TUPOLEV TU-104,Not Available,Not Available,100,100,0,0,0,A few seconds after taking off the airliner lost altitude and slammed into the tarmaexploding in flames.,High Fatality
102,9/4/1971,11:15,"NEAR JUNEAU, ALASKA",ALASKA AIRLINES,1866,ANCHORAGE - SEATTLE,BOEING B-727-193,N2969G,19304/287,111,111,0,0,0,The aircraft crashed into the slopes of Chikat Mountain in rain and fog while attempting a non-precision instrument landing at Juneau Municipal Airport. Display of misleading navigation information which resulted in the premature descent below obstacle clearance altitude. The crew didn't use all available navaids to check the position of the aircraft.,High Fatality
103,9/6/1971,Not Available,"NEAR HASLOH, GERMANY",PAN INTERNATIONAL,Not Available,"HAMBURG, GERMANY - MALAGA, SPAIN",BAC ONE-ELEVEN 515FB,D-ALAR,207,121,22,0,99,0.818,The aircraft collided with a bridge shearing off both wings after a double engine failure during takeoff.  A forced landing was attempted on a roadway. The water-injection system to cool the engines during takeoff was inadvertently filled with kerosene instead of water.,Low Fatality
104,11/10/1971,Not Available,"OFF PADANG, PHILIPPINES",MERPATI NUSANTARA AIRLINES,Not Available,JAKARTA - PADANG,VICKERS VISCOUNT 828,PK-MVS,448,69,69,0,0,0,The plane crashed into the sea while on approach to Pandang.,High Fatality
105,12/24/1971,12:36,"NEAR PUERTO INCA, HUANUCO, PERU",LINEAS AEREAS NACIONALES SA (PERU),508,LIMA - PUCALLPA,LOCKHEED 188A ELECTRA,OB-R-941,1086,92,91,0,1,0.011,"The aircraft was struck by lightning after it entered an area of thunderstorms and heavy turbulence. The lightning caused a fire which led to the separation of the right wing and part of the left wing. The aircraft crashed in mountainous terrain in the jungle. One German passenger, a female teenager, survived and was found after trekking through the jungle for 9 days. Juliane Koepcke had a broken collarbone and was unconscious for an unknown amount of time but had survived the crash still strapped in her seat. When she came to, she set out in vain to find her mother. Maria Koepcke, her mother, a leading Peruvian ornithologist, was dead. Rescue crews searched for the aircraft without success. Koepcke would have to save herself.  Koepcke found a stream and began nine days of wading through knee-high water and fighting off swarms of insects and leeches. On the ninth day, she found a canoe and shelter. Then she waited. Hours later, local lumbermen returned and found her. They tried to get her to eat but she was quite sick and refused. Insects had buried eggs in her skin and they were beginning to hatch. One of the men poured gasoline on her and, as she told the London Daily Mail, 'I counted 35 worms that came out of my arms alone.' The men offered what assistance they could provide but it was too late in the day to start the journey back to civilization; she slept one more night in the jungle before the men took her on the final seven hour journey via canoe down the river to a lumber station where she was airlifted to a hospital.",High Fatality
106,1/7/1972,22:00,"SIERRA DE ATALAYASA, SPAIN",IBERIA AIRLINES,602,VALENCIA - IBIZA,SUD-AVIATION CARAVELLE VI-R,EC-ATV,163,104,104,0,0,0,The aircraft crashed into hill while attempting to land. Failure to maintain the minimum flight altitude during the final stages of the visual approach.,High Fatality
107,3/14/1972,22:00,"NEAR AL FUJAYRAH, UNITED ARAB EMIRATES",STERLING AIRWAYS,296,COLOMBO - DUBAI,AEROSPATIALE CARAVELLE SUPER 10B,OY-STL,267,112,112,0,0,0,"The aircraft struck a mountain ridge during approach, 50 miles E of Dubai. Incorrect information from an outdated flight plan.",High Fatality
108,4/18/1972,9:39,"ADDIS ABABA, ETHIOPIA",EAST AFRICAN AIRWAYS,720,ADDIS ABABA - ROME,BAC SUPER VC-10 1154,5X-UVA,881,107,43,0,64,0.598,The aircraft broke-up after overrunning the runway and an aborted takeoff. Partial loss of braking power due to the incorrect reassembly and repairs of the braking system.,High Fatality
109,5/5/1972,22:24,"NEAR CARINI, SICILY, ITALY",ALITALIA,112,ROME - PALERMO,MCDONNELL DOUGLAS DC-8-43,I-DIWB,45625/150,115,115,0,0,0,The plane cashed into Mt. Lunga during an approach to Palermo. The crew's non-adherence to airport traffiregulations. The aircraft was named Antonio Pigafetta.,High Fatality
110,6/14/1972,20:20,"NEAR NEW DELHI, INDIA",JAPAN AIR LINES,471,BANGKOK - DELHI,MCDONNELL DOUGLAS DC-8-53,JA8012,45860/213,87,82,4,5,0.057,The aircraft crashed short of the runway. Indian officials claimed the crash was caused by a disregard for prescribed procedures in abandoning all instrument references before making visual contact with the runway. Japanese investigators claimed a false glide path signal was responsible for the descent into terrain.,High Fatality
111,6/15/1972,14:00,"NEAR PLEIKU, VIETNAM",CATHAY PACIFIAIRWAYS,700Z,BANGKOK - HONG KONG,CONVAIR CV-880-22M-21,VR-HFZ,22-7-1-53,81,81,0,0,0,"The plane crashed while en route from Singapore to Hong Kong. Detonation of an explosive device in the passenger cabin in a suitcase under a seat. A Thai police lieutenant, accused of planting the bomb, was acquitted due to lack of sufficient evidence.",High Fatality
112,6/18/1972,Not Available,"NEAR KHARKOV, UKRAINE, USSR",AEROFLOT,Not Available,NOT AVAILABLE,ANTONOV AN-10A,CCCP-11215,Not Available,122,122,0,0,0,Structural failure and separation of both wings due to a fatigue crack in the center wing section.,High Fatality
113,6/18/1972,16:11,"LONDON HEATHROW,  STAINES, SURREY, ENGLAND",BRITISH EUROPEAN AIRWAYS,548,LONDON - BRUSSELS,HAWKER SIDDELEY TRIDENT 1C,G-ARPI,2109,118,118,0,0,0,The plane crashed into a field shortly after taking off from Heathrow Airport. The airplane stalled after the wing's leading edge devices were retracted prematurely after takeoff.  Failure of the captain to maintain adequate speed after noise abatement procedures. Premature retraction of the slats. Incapacitation of the captain due to a possible arterial hemorrhage.,High Fatality
114,8/14/1972,17:00,"NEAR KONIGS WUSTERAUSEN, EAST GERMANY",INTERFLUG,Not Available,BERLIN - BIRGAS,ILYUSHIN IL-62,DM-SEA,702,156,156,0,0,0,"In cargo bay 6, hot air, leaking from an air conditioning system, melted insulation off cabling causing a short circuit in the stabilizing system. Melting insulation ignited flammable fluid which led to an uncontrollable fire that eventually weakened the structure until the tail fell off.",High Fatality
115,8/31/1972,Not Available,"NEAR MAGNITOGORSK, RUSSIA",AEROFLOT,Not Available,NOT AVAILABLE,ILYUSHIN IL-18,CCCP-74298,182004505,101,101,0,0,0,"The aircraft crashed, trailing heavy smoke. Fire caused by spontaneous ignition of passenger baggage.",High Fatality
116,10/2/1972,18:00,"NEAR ADLER, RUSSIA",AEROFLOT,Not Available,ADLER - MOSCOW,ILYUSHIN IL-18B,CCCP-75507,183006405,109,109,0,0,0,"The flight ditched into Black Sea shortly after takeoff. The accident occurred in good weather and visibility, and ground controllers received no distress message prior to the crash. An investigation failed to reveal its cause.",High Fatality
117,10/13/1972,21:50,"NEAR KRASNAYA POLYANA, USSR",AEROFLOT,Not Available,LENINGRAD - MOSCOW,ILYUSHIN IL-62,CCCP-86671,70301,174,174,0,0,0,The aircraft crashed at the outer marker while attempting to land for the third time in poor weather conditions.  Sudden incapacitation of the crew for reasons unknown.,High Fatality
118,11/28/1972,19:51,"NEAR MOSCOW, RUSSIA",JAPAN AIR LINES,446,MOSCOW - TOKYO,MCDONNELL DOUGLAS DC-8-62,JA8040,46057/474,76,62,0,14,0.184,"The aircraft lost altitude while taking off and crashed. The copilot responded to the captain's 'gear-up' command by reaching forward and pulling back on the ground spoiler handle, rather than lifting the gear handle which was immediately ahead of the spoiler control. Late night partying by the crew was suspected the night before.",High Fatality
119,12/3/1972,6:45,"TENERIFE,  CANARY ISLANDS",SPANTAX,Not Available,TENERIFE - MUNCHEN,CONVAIR CV-990-30A-5 CORONADO,EC-BZR,30-10-25,155,155,0,0,0,Reached a height of 300 feet  when the plane suddenly plunged to earth and crashed. Loss of control precipitated by abnormal maneuvers made by the pilot in command in zero visibility.,High Fatality
120,12/20/1972,18:00,"CHICAGO, ILLINOIS",DELTA AIR LINES/ NORTH CENTRAL AIRLINES,954/575,TAMPA - CHICAGO / CHICAGO - MADISON,CONVAIR CV-880 / MCDONNELL DC-9-31,N8897E/N954N,22-00-29 / 47159/231,133,10,0,123,0.925,"The Delta Convair, taxing across Runway 27L, after landing in heavy fog, was hit by the North Central DC-9 as it took off, shearing off its tail. The DC-9 came crashing back down on the runway and caught fire. Ten people out of 45 aboard the DC-9 were killed. None of the 88 aboard the Convair were killed. The ATC gave ambiguous instructions to the Delta crew, did not use all available information to determine the location of the CV-880 and the CV-880 crew did not request clarification of the controller's instructions.",Low Fatality
121,12/29/1972,23:42,"EVERGLADES NATIONAL PARK, FLORIDA",EASTERN AIR LINES,401,NEW YORK CITY - MIAMI,LOCKHEED L-1011 TRISTAR1,N310EA,1011,176,103,0,73,0.415,"The crew was preoccupied with a landing gear problem and was trying to replace the landing gear light while on autopilot and in a holding pattern. As the captain got up to help, he inadvertently pushed on the yoke releasing the autopilot. With no ground reference and  under nighttime conditions, the aircraft gradually descended until it crashed into Everglades, 18.7 miles west-northwest of Miami . The failure of the crew to monitor the flight instruments during the final 4 minutes of flight, and to detect a descent soon enough to prevent impact with the ground. After spare parts from the L-1011 were used on other planes, apparitions of the captain, Robert Loft and flight engineer, Don Repo began to be reported by Eastern employees. The book 'The Ghost of Flight 401'and movies 'The Ghost of Flight 401' and 'Crash' are based on this accident. Three passengers and one crew member died in weeks following the accident making the total 103.",High Fatality
122,1/22/1973,9:30,"KANO, NIGERIA",ALIA ROYAL JORDANIAN AIRLINES,Not Available,JEDDAH - LAGOS,BOEING B-707-3D3C,JY-ADO,20494/850,202,176,0,26,0.129,The landing gear collapsed after hitting a depression in the runway while landing. The aircraft ran off the side of the runway and caught fire.,High Fatality
123,2/19/1973,10:06,"PRAGUE, CZECHOSLOVAKIA",AEROFLOT,Not Available,MOSCOW - PRAHA,TUPOLEV TU-154,CCCP-85023,23,100,66,0,34,0.34,The plane struck the ground short of the runway while landing. Possible windshear or jammed tailplane.,High Fatality
124,2/21/1973,14:10,"NEAR ISMA'ILIYA, EGYPT",LIBYA ARAB AIRLINES,114,TRIPOLI - CAIRO,BOEING B-727-224,5A-DAH,20244/650,113,110,0,3,0.027,"While en route from Tripoli to Cairo, the aircraft drifted over Israeli territory due to strong tailwinds and was shot down by Israeli Phantom fighters. After being hit, a fire broke out and the crew attempted to make an emergency landing in the desert but crashed and burst into flames. Cairo approach control radar and beacon not functioning.",High Fatality
125,2/24/1973,Not Available,"NEAR LENINGRAD, RUSSIA",AEROFLOT,Not Available,NOT AVAILABLE,ILYUSHIN IL-18,CCCP-75712,189001804,79,79,0,0,0,The aircraft entered a spin and dove into the ground.,High Fatality
126,3/5/1973,13:50,"NEAR NANTES, FRANCE",LINEAS AEREAS DE ESPANA/SPANTAX SA TRANSPORTES,504/400,PALMA DE MALLORCA - LONDON,MD DOUGLAS DC-9-32/CONVAIR CV-990A,EC-BII/EC-BJC,47077/148 /30-10-22,182,68,0,114,0.626,Midair collision. Convair crew improperly assessed collision-course situation. Contributing factor was poor quality of radio transmissions. All sixty-eight aboard the DC-9 were killed while the Convair landed safely.,Low Fatality
127,4/10/1973,10:13,"NEAR HOCHWALD, SOLOTHURN,  SWITZERLAND",INVICTA INTERNATIONAL AIRLINES (UK),Not Available,BRISTOL - BASEL,VICKERS VANGUARD 952,G-AXOP,745,145,108,0,37,0.255,Cashed into a forest during a snowstorm. Malfunctioning navigation equipment. Navigational error by crew.,High Fatality
128,5/18/1973,Not Available,"CHITA, SIBERIA, RUSSIA",AEROFLOT,Not Available,MOSCOW - CHITA,TUPOLEV TU-104A,CCCP-42411,820303,100,100,0,0,0,The aircraft broke up at FL 300. Detonation of a bomb in the cabin being carried by a hijacker.,High Fatality
129,7/11/1973,14:03,"PARIS, ORLY, FRANCE",VARIG,820,RIO - DE JANERIO - PARIS,BOEING B-707-345C,PP-VJZ,19106/683,134,123,0,11,0.082,Fire aboard the aircraft in the aft right toilet was reported and an emergency descent made. The plane was heavily damaged by fire before fire fighters could rescue passengers. Most fatalities were due to CO before rescuers could reach passengers. The fire started in the aft right toilet either from an electrical short or discarded cigarette.,High Fatality
130,7/22/1973,22:07,"OFF PAPEETE, TAHITI",PAN AMERICAN WORLD AIRWAYS,816,"AUCKLAND, NZ - PAPEETE, TAHITI - HONOLULU - LOS ANGELES",BOEING B-707-321B,N417PA,18959,79,78,0,1,0.013,The aircraft crashed 30 seconds after takeoff from Faaa Airport into the ocean. Cause unknown.  It is possible an instrument failure diverted the crews attention during a turn. The aircraft was named 'Clipper Winged Racer.',High Fatality
131,7/31/1973,10:08,"LOGAN AIRPORT, BOSTON, MASSACHUSETT",DELTA AIR LINES,723,"BURLILNGTON, VT  - BOSTON, MA",MCDONNELL DOUGLAS DC-9-31,N975NE,47075/166,89,89,0,0,0,The flight crashed into a seawall during ILS approach in adverse weather conditions. The failure of the flightcrew to monitor altitude and to recognize passage of the aircraft through the approach decision height during an unstabilized precision approach conducted in rapidly changing meteorological conditions. Poor positioning of the aircraft for an approach by ATC. Questionable information presented by the flight director.,High Fatality
132,10/13/1973,20:15,"NEAR  DOMODEDOVO, RUSSIA",AEROFLOT,964,TBILISI - MOSCOW,TUPOLEV TU-104B,SSR-42486,21504,119,119,0,0,0,"After making a right turn, the aircraft plunged to earth from 1,500 ft.  Electrical failure of the compass and main gyro.",High Fatality
133,8/13/1973,11:40,"NEAR LA  CORUNDA, SPAIN",AVIACO,116,MADRID - LA CORUNA,SUD-AVIATION CARAVELLE 10-R,EC-BIC,225/224,85,85,5,0,0,"The aircraft experienced two missing landing attempts. On the third try, the crew tried to descent below minimum safe altitude to make visual contact with the ground. The right wing clipped trees and the aircraft crashed about 2 m from the runway. Attempting to land in meteorological conditions that were below minima.",High Fatality
134,8/28/1973,20:50,"THIRTY-FIVE MILES WEST OF LOS ANGELES, CALIFORNIA",TRANS WORLD AIRLINES,742,HONOLULU - LOS ANGELES,BOEING B-707-331B,N8705T,18916/455,149,1,0,148,0.993,"The plane porpoised while descending to LAX. The aircraft was subjected to 2 minutes of peak acceleration forces of 2.4 g.  A combination of design tolerances in the aircraft's longitudinal control system which, under certain conditions, produced a critical relationship between control forces and aircraft response.",Low Fatality
135,9/30/1973,20:40,"NEAR SVERDLOVSK, RUSSIA",AEROFLOT,Not Available,NOT AVAILABLE,TUPOLEV TU-104B,CCCP-42506,21904,108,108,0,0,0,"The aircraft crashed shortly after takeoff while on a go-around. After reaching an altitude of 1,200 ft. the aircraft banked to the left which steepened until the plane began to descend and finally crashed. Malfunctioning artificial horizon.",High Fatality
136,11/3/1973,16:40,"NEAR ALBUQUERQUE,  NEW MEXICO",NATIONAL AIRLINES,27,"MIAMI, FL - SAN FRANCISCO, CA",MCDONNELL DOUGLAS DC-10-10,N60NA,46700/14,128,1,0,127,0.992,"Overspeeding of the starboard engine caused the engine to disintegrate. Pieces struck the fuselage, breaking a window, causing rapid explosive decompression and a passenger was sucked out of the plane.  The plane landed safely. The captain and flight engineer were experimenting with the autothrottle system by tripping the circuit breakers which supplied the instruments which measured the rotational speed of each engine's low pressure compressor. This led to engine overspeeding and destruction of the engine.",Low Fatality
137,12/17/1973,13:00,"ROME, ITALY",PAN AMERICAN WORLD AIRWAYS,110,ROME - BEIRUT,BOEING B-707-321B,N407PA,18838,177,30,0,147,0.831,Two phosphorus bombs were thrown into the aircraft prior to its departure. The aircraft was named 'Clipper Celestial.',Low Fatality
138,12/22/1973,22:10,"NEAR TETOUAN, MOROCCO",SOBELAIR SA (BELGIUM),Not Available,PARIS - TANGER,SUD-AVIATION CARAVELLE VI-N,OO-SRD,069/84,106,106,0,0,0,"After missing the outer marker, the aircraft continued off course and crashed into Mt. Mellaline, 20 kms from the airport at an elevation of 2,300 feet in rain. Crew error. The pilot started his final turn too far east of the runway.",High Fatality
139,1/26/1974,7:30,"IZMIR, TURKEY",TURKISH AIRLINES (THY),Not Available,IZMIR - ISTANBUL,FOKKER F-28 FELLOWSHIP 1000,TC-JAO,11057,73,66,0,7,0.096,"The plane yawed left, pitched nose down and crashed shortly after taking off. Icing. Frost on the wings along with over rotation resulted in a stall. Crew error.",High Fatality
140,1/30/1974,23:41,"PAGO PAGO, AMERICAN SAMOA",PAN AMERICAN WORLD AIRWAYS,806,AUCKLAND - PAGO PAGO,BOEING B-707-321B,N454PA,19376/661,101,96,0,5,0.05,"The aircraft crashed and burned while making ILS approach to Pango Pango International Airport. There was a failure of the crew to correct an excessive rate of descent causing the aircraft to fly into trees short of the runway. Windshear, sensory illusory, inadequate monitoring of flight instruments, and the failure of the crew to call out descent rate. Most aboard the aircraft were not injured by the crash but succumbed to fire and paniafterwards. The aircraft was named Clipper Raidant.",High Fatality
141,2/2/1974,21:30,"NEAR HONOLULU, HI",PAN AMERICAN WORLD AIRWAYS,Not Available,"SAN FRANCISCO, CA - HONOLULU, HI - AGANA, GUAM",BOEING B-747,N732PA,19638/3,298,1,0,297,0.997,A 16 month old child was asphyxiated by a seat belt while unattended.,Low Fatality
142,3/3/1974,11:41,"NEAR ERMENONVILLE, FRANCE",TURKISH AIRLINES (THY),981,PARIS - LONDON,MCDONNELL DOUGLAS DC-10-10,TC-JAV,46704/29,346,346,0,0,0,"The aircraft crashed shortly after takeoff from Orly Airport in Paris, France. Climbing through FL110 the aircraft lost the rear cargo door, resulting in explosive decompression and damage to the cabin floor and control cables. The aircraft lost control and crashed in a forest at a high rate of speed. The service subcontractor and the flight engineer neglected to check the locking mechanism through a recently installed viewport to verify the door was latched properly. In addition, although a service bulletin stipulated that the locking pin should be extended, it was mistakenly shortened causing the latch to release after the cabin was pressurized. On June 12, 1972, an American Airlines DC-10 lost its cargo door shortly after taking off from Detroit Michigan. Using mainly engine thrust the crew was able to land safely. The cause was a defect in the latching mechanism on the door.",High Fatality
143,4/4/1974,2:35,"FRANCISTOWN, BOTSWANA",WENELA AIR SERVICES,Not Available,FRANCISTOWN - MALAWI,DOUGLAS DC-4,A2-ZER,27242,84,78,0,6,0.071,The aircraft crashed into trees and burst into flames after the engines overheated resulting in loss of power. The plane was carrying gold miners. Fuel contamination. Jet A fuel contaminated the aviation gasoline.,High Fatality
144,4/22/1974,15:26,"GROGAK, BALI, INDONESIA",PAN AMERICAN WORLD AIRWAYS,812,"HONG KONG - BALI, INDONESIA - SYDNEY, AUSTRAILIA",BOEING B-707-321C,N446PA,19268/544,107,107,0,0,0,"The aircraft was on a flight from Hong Kong to Denpassar, Bali.  While on approach, the plane crashed into Mt. Mesehe at 4,000 ft. killing all aboard. Premature execution of a right hand turn to join the 263 degrees outbound track which was based on the indication given by only one of the ADFs while the other one was still in steady condition. External or internal interference causing an incorrect indication from the automatidirection finder. The aircraft was named Clipper Climax.",High Fatality
145,4/24/1974,Not Available,"TASHKENT, UZBEKISTAN",AEROFLOT,Not Available,NOT AVAILABLE,ILYUSHIN IL-18E,CCCP-75405,186009005,115,1,0,114,0.991,"The plane took off, descended and crashed.",Low Fatality
146,4/27/1974,Not Available,"NEAR LENINGRAD, RUSSIA",AEROFLOT,Not Available,NOT AVAILABLE,ILYUSHIN IL-18B,CCCP-75559,184007703,118,118,0,0,0,The aircraft crashed after report of a heavy vibration and fire in the No. 4 engine. Structural failure of turbine disin No. 4 the engine.,High Fatality
147,9/8/1974,9:40,"IONIAN SEA , OFF KEFALLINIA, GREECE",TRANS WORLD AIRLINES,841,TEL AVIV - ATHENS - ROME - NEW YORK,BOEING B-707-331B,N8734,20063/789,88,88,0,0,0,"The aircraft pitched up, rolled to the left, went into a steep spiral dive and crashed into the sea. Detonation of an explosive device in the aft cargo hold. A Palestinian organization claimed responsibility. The blast probably buckled the cabin floor damaging the elevator and rudder controls.",High Fatality
148,9/11/1974,7:34,"NEAR CHARLOTTE, NORTH CAROLINA",EASTERN AIR LINES,212,"CHARLESTON, SC - CHARLOTTE, NC - CHICAGO, IL",MCDONNELL DOUGLAS DC-9-31,N8984E,47400/443,82,70,0,12,0.146,The aircraft flew too low and struck trees 3.3 miles short of the runway during an approach in fog. Flightcrew's lack of altitude awareness at critical points during the approach due to poor cockpit discipline in that the crew did not follow prescribed procedures. The crewmembers were preoccupied with conversations having nothing to do with the operating the aircraft while conducting an instrument approach. The aircraft was 50 knots too fast and 500 feet below the final approach fix.,High Fatality
149,9/15/1974,11:00,"PHAN RANG, VIETNAM",AIR VIETNAM (SOUTH VIETNAM),706,DA NANG - SAIGON,BOEING B-727-121C,XV-NJC,19819,75,75,0,0,0,"Hijacked. Detonation of two hand grenades in the passenger compartment after the pilot refused to fly to Hanoi, North Vietnam. The aircraft attempted to land, executed a missed approach and dove into the ground from a height of 1,000 feet.",High Fatality
150,11/20/1974,7:50,"NEAR NAIROBI, KENYA",LUFTHANSA,540,NAIROBI - JOHANNESBURG,BOEING B-747-130,D-ABYB,19747/29,157,59,0,98,0.624,The aircraft stalled and crashed during takeoff. The wing flaps were not extended. First fatal Boeing 747 accident to occur.,Low Fatality
151,12/1/1974,11:10,"NEAR BERRYVILLE, VIRGINIA",TRANS WORLD AIRLINES,514,COLUMBUS - WASHINGTON D.C.,BOEING B-727-231,N54328,20306/791,92,92,0,0,0,The plane crashed into high terrain at approximately 270 mph during an approach to Dulles Airport. The crew's decision to descend before aircraft reached the approach segment. The crew ignored high terrain marked on the en route chart and continued their descent. Lack of clarity in ATC procedures. The issuance of the approach clearance when the flight was 44 miles from the airport on an unpublished route without clearly defined minimum altitudes. Inadequate depiction of altitude restrictions on the profile view of the approach chart for the VOR/DME approach to Runway 12 at Dulles International Airport.,High Fatality
152,12/4/1974,22:15,"NEAR MASKELIYA, SRI LANKA",MARTINAIR HOLLAND NV,Not Available,SURABAYA - JEDDAH,MCDONNELL DOUGLAS DC-8-55F,PH-MHB,45818/242,191,191,0,0,0,The aircraft impacted high ground during approach. The crew descended below a safe altitude due to a position error resulting from misinterpretation of Doppler and weather radar.,High Fatality
153,12/22/1974,12:30,"MATURIN, VENEZUELA",AEROVIAS VENEZOLANAS SA (VENEZUELA),358,NOT AVAILABLE,MCDONNELL DOUGLAS DC-9-14,YV-C-AVM,47056/89,77,77,0,0,0,The flight crashed 5 minutes after taking off. Undetermined cause. Possible engine failure.,High Fatality
154,4/4/1975,16:30,"SAIGON, VIETNAM",MILITARY - U.S. AIR FORCE,Not Available,TAN SON AFB - CLARK AFB,LOCKHEED C-5A GALAXY,68-218,21,330,155,0,175,0.53,"The aircraft reported it was returning to Tan Son Nhut Airbase 15 minutes after taking off. The aircraft was not able to make the airport and crashed landed into a rice paddy, 1.5 miles from the airport. The flight was evacuating 243 Vietnamese orphans. Pressure failure due to a faulty rear loading ramp caused decompression which led to severed rudder and elevator cables and loss of two hydraulisystems resulting in a loss of pitch control. Worst single non-combat U.S. military aviation disaster.",Low Fatality
155,6/24/1975,16:05,"JFK AIRPORT, NEW YORK, NEW YORK",EASTERN AIR LINES,66,NEW ORLEANS - NEW YORK CITY,BOEING B-727-225,N8845E,20443/837,124,113,0,11,0.089,"The aircraft crashed into the approach lights to runway 22L at JFK while on an ILS approach to the runway. Aircraft's encounter with heavy rain and a very strong thunderstorm that was located astride the ILS localizer course which resulted in a high descent rate into approach light towers.The flightcrew's delayed recognition and correction of the high descent rate and their reliance upon visual cues rather than on flight instrument reference. However, the adverse winds might have been too severe for a successful approach and landing even had they relied upon and responded rapidly to the indications of the flight instruments.Contributing to the accident was the continued use of Runway 22L when it should have become evident to both air trafficontrol personnel and the flightcrew that a severe weather hazard existed along the approach path.",High Fatality
156,8/3/1975,4:30,"NEAR IMMOUZER, MOROCCO",ALIA ROYAL JORDANIAN AIRLINES,Not Available,PARIS - AGADIR,BOEING B-707-321C,JY-AEE,18767/376,188,188,0,0,0,"The aircraft was on approach when the right wing tip and No. 4 engine struck a mountain peak at 2,400 feet.  Part of the wing separated and the plane crashed into a ravine. Crew error.",High Fatality
157,8/7/1975,16:11,"DENVER, COLORADO",CONTINENTAL AIRLINES,426,DENVER - WICHITA,BOEING B-727-224,N88777,19798/608,131,0,0,131,1,"The aircraft climbed to about 100 feet above runway 35L and then crashed near the departure end of the runway. At the time of the accident, a thunderstorm with associated rain showers was moving over the northern portion of the airport. The aircraft's encounter, immediately following takeoff, with severe windshear at an altitude and airspeed which precluded recovery to level flight.",Low Fatality
158,8/20/1975,1:15,"NEAR DAMASCUS, SYRIA",CESKOSLOVENSKE AEROLINIE,542,"PRAGUE, CZECHOSLOVAKIA - DAMASCUS, SYRIA",ILYUSHIN IL-62,OK-DBF,31502,128,126,0,2,0.016,"The airliner crashed into a sandy knoll, 10 miles NE of Damascus during an approach to Damascus International Airport. Failure of the crew to maintain the minimum flight altitude.",High Fatality
159,10/30/1975,9:20,"NEAR PRAGUE, CZECHOSLOVAKIA",INEX ADRIA AVIOPROMET,Not Available,TIVAT - PRAHA,MCDONNELL DOUGLAS DC-9-32,YU-AJO,47457/620,120,75,0,45,0.375,The aircraft landed short and hit high ground during an ILS approach in fog.,High Fatality
160,1/1/1976,5:30,"NEAR AL QAYSUMAH, SAUDI ARABIA",MIDDLE EAST AIRLINES,438,BEIRUT - DUBAI,BOEING B-720B-023B,OD-AFT,18020/165,82,82,0,0,0,The aircraft broke-up at FL 370 and crashed in the desert. Detonation of an explosive device in the forward cargo compartment.,High Fatality
161,3/6/1976,1:00,"NEAR VORONEZH, RUSSIA",AEROFLOT,Not Available,MOSCOW - YEREVAN,ILYUSHIN IL-18D,CCCP-75408,186009201,120,120,7,0,0,"The aircraft plunged to earth from FL 260. Electrical power failure of compass, gyros and auto pilot.",High Fatality
162,6/27/1976,Not Available,"ENTEBBE, UGANDA",AIR FRANCE,139,TEL-AVIV - ATHENS - PARIS,AIRBUS A300,F-BVGG,19,258,7,0,251,0.973,"The plane was hijacked ,in Athens, by Palestinian terrorists and flown to Entebbe Uganda. Seven passengers were killed during a commando raid by Israeli armed forces to free the hostages.",Low Fatality
163,7/28/1976,Not Available,"BRATISLAVA, CZECHOSLOVAKIA",CESKOSLOVENSKE AEROLINIE,Not Available,PRAGUE - BRATISLAVA,ILYUSHIN IL-18L,OK-NAB,189001605,79,76,0,3,0.038,The No. 3 engine failed during the approach and the No. 4 engine was feathered by mistake. The No. 4 engine was restarted but  the aircraft lost control and crashed into Zlat̩ piesky lake after a decision to go-around was made.,High Fatality
